index,cell_id,DL_TRAFFIC_VOLUME,UL_TRAFFIC_VOLUME,Inter_X2_based_HO_prep,PDCP_SDU_Volume_DL,VoLTE_total_traffic,INTRA_FREQ_HO_SR_RATIO,RRC_SR_RATIO,Intra_eNB_HO_SR_total_RATIO,E_UTRAN_RRC_Conn_Stp_Failure_due_RRC_timer_expiry_RATIO,CELL_AVAILABILITY_RATIO,RACH_Stp_Completion_SR_RATIO,Total_E_UTRAN_RRC_Conn_Stp_SR_RATIO,UL_THROUGHPUT_RATIO,E_RAB_QCI1_DR_RATIO,DCR_LTE_RATIO,CSSR_LTE_RATIO,LTE_INTER_ENODEB_HOSR_RATIO,E_UTRAN_Inter_Freq_HO_SR_RATIO,Inter_RAT_HO_SR_GERAN_SRVCC_RATIO,Inter_RAT_Total_HO_SR_RATIO,E_UTRAN_tot_HO_SR_inter_eNB_X2_RATIO,DL_THROUGHPUT_RATIO,E_RAB_DR_RATIO,HOUR
2021-05-09 00:00:00,2.2265366483183206e+17,37797366192.0,3947171851.0,15.0,37797366192.0,4727.0,0.8098591549295775,0.9924270410048024,0.8098591549295775,0.007665312153675656,1.0,0.9626882674597084,0.9924270410048024,34.267578125,0.0,0.0017606253741328922,0.99604133823787,0.4,0.7706422018348624,0.9636363636363636,0.9636363636363636,0.4,82.55041734109379,0.0017606253741328922,0
2021-05-09 01:00:00,2.2265366483183206e+17,36848975406.0,4088751550.0,6.0,36848975406.0,3076.0,0.8867924528301887,0.9932876774456892,0.8867924528301887,0.006712322554310853,1.0,0.973206644852756,0.9932876774456892,35.4873046875,0.0,0.0024678484532499128,0.995464617089046,0.5,0.8421052631578947,1.0,1.0,0.5,80.53181068745282,0.0024678484532499128,1
2021-05-09 02:00:00,2.2265366483183206e+17,32926766658.0,5016897018.0,8.0,32926766658.0,3501.0,0.9383561643835616,0.994663767972726,0.9383561643835616,0.005336232027274075,1.0,0.9663304252998909,0.994663767972726,43.5546875,0.013888888888888888,0.0030774935113088613,0.9960436309853948,0.375,0.9316239316239316,1.0,0.9666666666666668,0.375,71.88531132203926,0.0030774935113088613,2
2021-05-09 03:00:00,2.2265366483183206e+17,30215467179.0,5139106568.0,9.0,30215467179.0,2275.0,0.8602150537634409,0.9948186528497408,0.8602150537634409,0.0051813471502590676,1.0,0.9432160345509292,0.9948186528497408,44.603515625,0.0,0.0017210387424943588,0.9959197681513118,0.7777777777777778,0.8169014084507042,0.9473684210526316,0.9473684210526316,0.7777777777777778,65.97742992984308,0.0017210387424943588,3
2021-05-09 04:00:00,2.2265366483183206e+17,30821756924.0,4250715700.0,17.0,30821756924.0,2178.0,0.8404255319148937,0.9959516144766364,0.8404255319148937,0.004048385523363575,1.0,0.9362555242285592,0.9959516144766364,36.892578125,0.0,0.002213076564683957,0.995628457580564,0.7647058823529411,0.7945205479452054,1.0,1.0,0.7647058823529411,67.32480533799267,0.002213076564683957,4
2021-05-09 05:00:00,2.2265366483183206e+17,31561683093.0,4794340368.0,29.0,31561683093.0,1366.0,0.7663551401869159,0.9930337463598471,0.7663551401869159,0.006909153200479644,1.0,0.9723633557207304,0.9930337463598471,41.623046875,0.0,0.0019772397732765058,0.9962361591316906,0.5517241379310345,0.68,0.9166666666666666,0.8461538461538461,0.5517241379310345,68.85608833775487,0.0019772397732765058,5
2021-05-09 06:00:00,2.2265366483183206e+17,32559126732.0,5629239733.0,18.0,32559126732.0,2014.0,0.75,0.992032114834864,0.75,0.00802870871601484,1.0,0.9500117896722472,0.992032114834864,48.8583984375,0.07692307692307693,0.001963507494851779,0.997077144226162,0.4444444444444444,0.6538461538461539,1.0,1.0,0.4444444444444444,71.05887550730762,0.001963507494851779,6
2021-05-09 07:00:00,2.2265366483183206e+17,34683839179.0,4115190694.0,24.0,34683839179.0,1997.0,0.7565217391304347,0.9918516898173466,0.7565217391304347,0.008148310182653397,1.0,0.9169133948365872,0.9918516898173466,35.724609375,0.0,0.0013135593220338984,0.9984741883529712,0.4583333333333333,0.6216216216216216,1.0,1.0,0.4583333333333333,75.69829398205651,0.0013135593220338984,7
2021-05-09 08:00:00,2.2265366483183206e+17,37768302194.0,2620053045.0,35.0,37768302194.0,795.0,0.6666666666666666,0.9916643665470604,0.6666666666666666,0.008280430582390284,1.0,0.9200184109899447,0.9916643665470604,22.740234375,0.0,0.0016007826048290276,0.9983095333422304,0.6285714285714286,0.5294117647058824,1.0,0.8888888888888888,0.6285714285714286,82.41468907181937,0.0016007826048290276,8
2021-05-09 09:00:00,2.2265366483183206e+17,33673723412.0,3028173988.0,26.0,33673723412.0,1186.0,0.6986301369863014,0.9914630721707386,0.6986301369863014,0.008593091828138163,1.0,0.9258183871195396,0.9914630721707386,26.2822265625,0.04,0.001208066164854567,0.99860588317301,0.5769230769230769,0.5510204081632653,1.0,1.0,0.5769230769230769,73.4653906619359,0.001208066164854567,9
